factor,legacy_member,new75_member,membership,legacy_category,legacy_direction,legacy_period,legacy_ic,legacy_t,new_direction,new_period,new_is_ic,new_is_t,new_is_q,new_oos_ic,new_oos_ic_hac_t,new_oos_ols_hac_t,new_oos_days,new_decision_reason
intraday_jump_ret_follow_ratio_20d,True,False,legacy_only,new_candidate,1,10,0.13,4.14,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_large_order_impact_20d,False,True,new_only,,,,,,-1,20,-0.15966804262389986,-3.480343321969896,0.021688830335210817,-0.3317983265639257,-13.090091181500243,-12.869358444500108,22,passed_is_and_oos_direction
intraday_lead_amount_surge_20d,True,False,legacy_only,new_candidate,-1,20,-0.19,-7.11,,20,-0.10732579690943052,-5.49293886642955,0.00010393810833997151,0.11875036273907112,2.907123170468546,3.095861252199675,22,oos_direction_reversed_or_zero
intraday_level_clustering_20d,False,True,new_only,,,,,,-1,5,-0.05524625944162199,-2.8587791693889617,0.06943671142537117,-0.010127227760683529,-0.25186178848483526,-0.15829570251936467,37,passed_is_and_oos_direction
intraday_liq_resilience_20d,False,True,new_only,,,,,,1,10,0.10175612479822577,2.6712234204446657,0.08959199434738858,0.06172994224657951,1.589797784161107,1.6976015658223513,32,passed_is_and_oos_direction
intraday_lowest_time_20d,True,False,legacy_only,validated_candidate,1,20,0.119,2.79,,20,0.08543281902604782,2.763731690717793,0.08959199434738858,-0.3666887362382836,-8.746096447614478,-6.904309473791281,22,oos_direction_reversed_or_zero
intraday_ma_count_bullish_20d,True,False,legacy_only,validated_candidate,1,20,0.099,3.03,,10,0.1256653349938286,3.1515819843054564,0.02505314992187157,-0.14188784010452474,-2.075023655817616,-2.04396760838075,32,oos_direction_reversed_or_zero
intraday_morning_star_freq_20d,False,True,new_only,,,,,,1,10,0.17797824909837726,2.5970789638199236,0.09360079672571398,0.14133159178214588,2.499102745129401,2.5875990784095166,32,passed_is_and_oos_direction
intraday_neg_ret_illiq_20d,True,False,legacy_only,new_candidate,-1,20,-0.15,-3.85,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_dispersion_20d,False,True,new_only,,,,,,-1,20,-0.17676422817534862,-2.7087865754586646,0.08959199434738858,-0.11160763593860419,-1.3173143859980183,-0.9552380405862353,22,passed_is_and_oos_direction
intraday_oi_log_change_vol_20d,True,False,legacy_only,validated_candidate,-1,20,-0.107,3.51,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_peak_ridge_ratio_20d,True,False,legacy_only,validated_candidate,-1,5,-0.068,2.75,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_quantile_range_20d,True,True,both,validated_candidate,-1,20,-0.122,3.3,-1,20,-0.17858624034867457,-2.671652172302117,0.09047254231075351,-0.10299482121742048,-1.2426450608572026,-0.8489221951151105,22,passed_is_and_oos_direction
intraday_oi_skew_stability_20d,True,False,legacy_only,validated_candidate,-1,20,-0.148,3.66,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_time_centroid_20d,True,False,legacy_only,validated_candidate,-1,20,-0.22,5.85,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_vol_corr_daily_20d,True,False,legacy_only,validated_candidate,1,20,0.159,6.3,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_oi_vol_price_corr_20d,True,False,legacy_only,validated_candidate,-1,20,-0.126,2.72,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_open_close_drift_20d,True,False,legacy_only,validated_candidate,1,20,0.194,6.8,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_open_close_volume_ratio_20d,True,False,legacy_only,validated_candidate,-1,20,-0.088,3.39,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_open_state_trend_20d,False,True,new_only,,,,,,-1,5,-0.07509926068935521,-2.5968767192618127,0.07657861352896449,-0.07042115540466884,-2.301576837049437,-2.528480875692267,37,passed_is_and_oos_direction
intraday_or_retention_20d,False,True,new_only,,,,,,1,20,0.14260488634514518,3.5356631443379616,0.020019846168701626,0.1433967948918908,5.969425385635096,5.705442794883781,22,passed_is_and_oos_direction
intraday_order_flow_asymmetry_20d,False,True,new_only,,,,,,1,10,0.1907714937899717,2.78398772115916,0.05875074222663043,0.06761670511322994,1.07451569785612,1.043569066528071,32,passed_is_and_oos_direction
intraday_order_flow_autocorr_20d,True,True,both,new_candidate,1,20,0.2,4.64,1,10,0.17556177503438844,2.9703909992839153,0.0377063555033924,0.02855068945348611,0.587954950372511,0.7174033219356937,32,passed_is_and_oos_direction
intraday_order_flow_memory_20d,True,True,both,new_candidate,1,20,0.17,4.33,1,5,0.13679369403310843,3.2657640481405363,0.022335824611538886,0.01884381692536035,0.3527242289594338,0.11318269272877922,37,passed_is_and_oos_direction
intraday_overnight_absorption_20d,True,False,legacy_only,validated_candidate,1,20,0.121,2.87,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_overnight_gap_reaction_20d,True,False,legacy_only,validated_candidate,1,20,0.217,3.81,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_path_second_diff_20d,False,True,new_only,,,,,,1,10,0.16338480012992737,3.0040757450673197,0.03388412363953959,0.06731705612102966,1.6668087790796255,1.7355967076997985,32,passed_is_and_oos_direction
intraday_peak_moment_count_20d,True,False,legacy_only,new_candidate,-1,20,-0.2,-4.44,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_peak_ridge_coherence_20d,True,True,both,new_candidate,-1,20,-0.15,-3.69,-1,10,-0.17150269240099822,-2.598941885373469,0.09292745008341521,-0.07588227776383241,-1.2724706738280307,-1.2519304284893347,32,passed_is_and_oos_direction
intraday_peak_ridge_ratio_20d,True,True,both,production_baseline,-1,,,,-1,10,-0.152433008101424,-2.953745807886853,0.04206936249867225,-0.11089593831586456,-1.3156223848929072,-1.267108484062059,32,passed_is_and_oos_direction
intraday_permutation_entropy_20d,False,True,new_only,,,,,,-1,20,-0.2085679417576322,-3.096386112632399,0.0443852712281595,-0.43384376050805246,-6.231457907021227,-5.134228652786884,22,passed_is_and_oos_direction
intraday_price_delay_20d,True,True,both,validated_candidate,-1,20,-0.1,2.96,-1,20,-0.19518234107283836,-4.226577609383481,0.0034137437730138603,-0.10846998870008272,-1.6135019556107673,-1.6516281755457374,22,passed_is_and_oos_direction
intraday_price_diff_autocorr_20d,True,True,both,new_candidate,-1,20,-0.19,-5.02,-1,10,-0.19430237315205193,-3.2848885918688673,0.024761898024980446,-0.022124309249093876,-0.40985957454592786,-0.3820703631071191,32,passed_is_and_oos_direction
intraday_price_peak_count_20d,True,False,legacy_only,production_baseline,1,,,,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_price_peak_interval_std_20d,True,True,both,new_candidate,1,5,0.07,2.73,-1,10,-0.22272104731880846,-3.27677858182297,0.028177774454829357,-0.06308089525205658,-1.077146296246659,-1.3293489714099562,32,passed_is_and_oos_direction
intraday_price_ridge_interval_skew_20d,False,True,new_only,,,,,,1,10,0.22476663727132823,3.006462357710444,0.05356183322070856,0.052590240900473546,0.8500500706195103,1.0957939976577895,32,passed_is_and_oos_direction
intraday_price_volume_divergence_20d,False,True,new_only,,,,,,1,10,0.17110488866891946,3.0318597761816113,0.0337976256868294,0.023878829420590185,0.3665592836279615,0.3325511923815453,32,passed_is_and_oos_direction
intraday_realised_skewness_20d,True,False,legacy_only,production_baseline,1,,,,,20,0.16219662385704367,2.7141136037172715,0.09360079672571398,-0.08056484741157513,-2.388344691520567,-2.459043651059799,22,oos_direction_reversed_or_zero
intraday_rel_turnover_20d,True,False,legacy_only,marginal_watch,-1,20,-0.047,2.23,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_rel_volume_percentile_20d,True,False,legacy_only,marginal_watch,-1,20,-0.036,2.15,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_resid_momentum_20d,False,True,new_only,,,,,,1,20,0.1352537737591094,2.9772354620645407,0.05777800284736038,0.06347237590824867,1.0236156290337355,1.0802619854404074,13,passed_is_and_oos_direction
intraday_ret_extreme_magnitude_20d,True,False,legacy_only,new_candidate,1,20,0.17,3.74,,20,0.14749919905442255,2.7915331098003624,0.08584489457750855,-0.2369003424037777,-4.941532427860508,-4.628049840604332,22,oos_direction_reversed_or_zero
intraday_reversal_intensity_20d,False,True,new_only,,,,,,-1,10,-0.21164964900033134,-2.528280761180185,0.09158557794608085,-0.041620584665739924,-0.5697395196677102,-0.6902618257589697,32,passed_is_and_oos_direction
intraday_roll_dualscore_consistency_20d,True,False,legacy_only,validated_candidate,-1,10,-0.056,2.39,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_roll_spread_20d,False,True,new_only,,,,,,-1,20,-0.23994139501777828,-4.424888149274758,0.0020445382709525515,-0.11896784589882396,-1.6460373281479783,-1.9473194381809846,22,passed_is_and_oos_direction
intraday_roll_yield_dualscore_20d,True,False,legacy_only,validated_candidate,-1,10,-0.061,2.46,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_rollover_basis_gap_20d,True,True,both,validated_candidate,1,20,0.126,5.26,1,20,0.2329557424135143,3.6727097314965103,0.01562992323188482,0.16052561061228363,3.2324266160615442,3.767485590055106,22,passed_is_and_oos_direction
intraday_rv_compression_breakout_20d,True,True,both,validated_candidate,-1,20,-0.054,2.9,-1,20,-0.086299627554854,-3.0422263240672867,0.05086846091524842,-0.010252490421584366,-0.19218113066259843,-0.5031436672657467,22,passed_is_and_oos_direction
