date,symbol,weight
2025-02-19,HC,-0.1
2025-02-19,I,-0.1
2025-02-19,IC,-0.1
2025-02-19,IF,-0.1
2025-02-19,IH,-0.1
2025-02-20,A,0.1
2025-02-20,AG,0.1
2025-02-20,AL,0.1
2025-02-20,AU,0.1
2025-02-20,FU,0.1
2025-02-20,HC,0.1
2025-02-20,I,0.1
2025-02-20,IC,0.1
2025-02-20,IF,0.1
2025-02-20,IH,0.1
2025-02-20,A,-0.1
2025-02-20,AG,-0.1
2025-02-20,AL,-0.1
2025-02-20,AU,-0.1
2025-02-20,FU,-0.1
2025-02-20,HC,-0.1
2025-02-20,I,-0.1
2025-02-20,IC,-0.1
2025-02-20,IF,-0.1
2025-02-20,IH,-0.1
2025-02-21,A,0.1
2025-02-21,AG,0.1
2025-02-21,AL,0.1
2025-02-21,AU,0.1
2025-02-21,FU,0.1
2025-02-21,HC,0.1
2025-02-21,I,0.1
2025-02-21,IC,0.1
2025-02-21,IF,0.1
2025-02-21,IH,0.1
2025-02-21,A,-0.1
2025-02-21,AG,-0.1
2025-02-21,AL,-0.1
2025-02-21,AU,-0.1
2025-02-21,FU,-0.1
2025-02-21,HC,-0.1
2025-02-21,I,-0.1
2025-02-21,IC,-0.1
2025-02-21,IF,-0.1
2025-02-21,IH,-0.1
2025-02-24,A,0.1
2025-02-24,AG,0.1
2025-02-24,AL,0.1
2025-02-24,AU,0.1
2025-02-24,FU,0.1
2025-02-24,HC,0.1
2025-02-24,I,0.1
2025-02-24,IC,0.1
2025-02-24,IF,0.1
2025-02-24,IH,0.1
2025-02-24,A,-0.1
2025-02-24,AG,-0.1
2025-02-24,AL,-0.1
2025-02-24,AU,-0.1
2025-02-24,FU,-0.1
2025-02-24,HC,-0.1
2025-02-24,I,-0.1
2025-02-24,IC,-0.1
2025-02-24,IF,-0.1
2025-02-24,IH,-0.1
2025-02-25,A,0.1
2025-02-25,AG,0.1
2025-02-25,AL,0.1
2025-02-25,AU,0.1
2025-02-25,FU,0.1
2025-02-25,HC,0.1
2025-02-25,I,0.1
2025-02-25,IC,0.1
2025-02-25,IF,0.1
2025-02-25,IH,0.1
2025-02-25,A,-0.1
2025-02-25,AG,-0.1
2025-02-25,AL,-0.1
2025-02-25,AU,-0.1
2025-02-25,FU,-0.1
2025-02-25,HC,-0.1
2025-02-25,I,-0.1
2025-02-25,IC,-0.1
2025-02-25,IF,-0.1
2025-02-25,IH,-0.1
2025-02-26,A,0.1
2025-02-26,AG,0.1
2025-02-26,AL,0.1
2025-02-26,AU,0.1
2025-02-26,FU,0.1
2025-02-26,HC,0.1
2025-02-26,I,0.1
2025-02-26,IC,0.1
2025-02-26,IF,0.1
2025-02-26,IH,0.1
2025-02-26,A,-0.1
2025-02-26,AG,-0.1
2025-02-26,AL,-0.1
2025-02-26,AU,-0.1
2025-02-26,FU,-0.1
2025-02-26,HC,-0.1
2025-02-26,I,-0.1
2025-02-26,IC,-0.1
2025-02-26,IF,-0.1
2025-02-26,IH,-0.1
2025-02-27,A,0.1
2025-02-27,AG,0.1
2025-02-27,AL,0.1
2025-02-27,AU,0.1
2025-02-27,FU,0.1
2025-02-27,HC,0.1
2025-02-27,I,0.1
2025-02-27,IC,0.1
2025-02-27,IF,0.1
2025-02-27,IH,0.1
2025-02-27,A,-0.1
2025-02-27,AG,-0.1
2025-02-27,AL,-0.1
2025-02-27,AU,-0.1
2025-02-27,FU,-0.1
2025-02-27,HC,-0.1
2025-02-27,I,-0.1
2025-02-27,IC,-0.1
2025-02-27,IF,-0.1
2025-02-27,IH,-0.1
2025-02-28,A,0.1
2025-02-28,AG,0.1
2025-02-28,AL,0.1
2025-02-28,AU,0.1
2025-02-28,FU,0.1
2025-02-28,HC,0.1
2025-02-28,I,0.1
2025-02-28,IC,0.1
2025-02-28,IF,0.1
2025-02-28,IH,0.1
2025-02-28,A,-0.1
2025-02-28,AG,-0.1
2025-02-28,AL,-0.1
2025-02-28,AU,-0.1
2025-02-28,FU,-0.1
2025-02-28,HC,-0.1
2025-02-28,I,-0.1
2025-02-28,IC,-0.1
2025-02-28,IF,-0.1
2025-02-28,IH,-0.1
2025-03-03,A,0.1
2025-03-03,AG,0.1
2025-03-03,AL,0.1
2025-03-03,AU,0.1
2025-03-03,FU,0.1
2025-03-03,HC,0.1
2025-03-03,I,0.1
2025-03-03,IC,0.1
2025-03-03,IF,0.1
2025-03-03,IH,0.1
2025-03-03,A,-0.1
2025-03-03,AG,-0.1
2025-03-03,AL,-0.1
2025-03-03,AU,-0.1
2025-03-03,FU,-0.1
2025-03-03,HC,-0.1
2025-03-03,I,-0.1
2025-03-03,IC,-0.1
2025-03-03,IF,-0.1
2025-03-03,IH,-0.1
2025-03-04,A,0.1
2025-03-04,AG,0.1
2025-03-04,AL,0.1
2025-03-04,AU,0.1
2025-03-04,FU,0.1
2025-03-04,HC,0.1
2025-03-04,I,0.1
2025-03-04,IC,0.1
2025-03-04,IF,0.1
2025-03-04,IH,0.1
2025-03-04,A,-0.1
2025-03-04,AG,-0.1
2025-03-04,AL,-0.1
2025-03-04,AU,-0.1
2025-03-04,FU,-0.1
2025-03-04,HC,-0.1
2025-03-04,I,-0.1
2025-03-04,IC,-0.1
2025-03-04,IF,-0.1
2025-03-04,IH,-0.1
2025-03-05,A,0.1
2025-03-05,AG,0.1
2025-03-05,AL,0.1
2025-03-05,AU,0.1
2025-03-05,FU,0.1
2025-03-05,HC,0.1
2025-03-05,I,0.1
2025-03-05,IC,0.1
2025-03-05,IF,0.1
2025-03-05,IH,0.1
2025-03-05,A,-0.1
2025-03-05,AG,-0.1
2025-03-05,AL,-0.1
2025-03-05,AU,-0.1
2025-03-05,FU,-0.1
2025-03-05,HC,-0.1
2025-03-05,I,-0.1
2025-03-05,IC,-0.1
2025-03-05,IF,-0.1
2025-03-05,IH,-0.1
2025-03-06,A,0.1
2025-03-06,AG,0.1
2025-03-06,AL,0.1
2025-03-06,AU,0.1
2025-03-06,FU,0.1
2025-03-06,HC,0.1
2025-03-06,I,0.1
2025-03-06,IC,0.1
2025-03-06,IF,0.1
2025-03-06,IH,0.1
2025-03-06,A,-0.1
2025-03-06,AG,-0.1
2025-03-06,AL,-0.1
2025-03-06,AU,-0.1
2025-03-06,FU,-0.1
2025-03-06,HC,-0.1
