date,symbol,weight
2024-01-29,A,0.08217589422951005
2024-01-29,AG,0.03547816073494862
2024-01-29,AL,0.06417214409721594
2024-01-29,AU,0.14325980286848797
2024-01-29,FU,0.03334708321003226
2024-01-29,HC,0.05016738667992923
2024-01-29,I,0.02534788907583789
2024-01-29,IC,0.014077943903553823
2024-01-29,IF,0.025002181439083355
2024-01-29,IH,0.0269715137614008
2024-01-29,A,-0.08217589422951005
2024-01-29,AG,-0.03547816073494862
2024-01-29,AL,-0.06417214409721594
2024-01-29,AU,-0.14325980286848797
2024-01-29,FU,-0.03334708321003226
2024-01-29,HC,-0.05016738667992923
2024-01-29,I,-0.02534788907583789
2024-01-29,IC,-0.014077943903553823
2024-01-29,IF,-0.025002181439083355
2024-01-29,IH,-0.0269715137614008
2024-01-30,A,0.08461597367589971
2024-01-30,AG,0.036367417497333195
2024-01-30,AL,0.06370627074751711
2024-01-30,AU,0.1466108916513038
2024-01-30,FU,0.03269130502503535
2024-01-30,HC,0.047706536432363805
2024-01-30,I,0.02443617870681556
2024-01-30,IC,0.01373890249457561
2024-01-30,IF,0.024087313092911063
2024-01-30,IH,0.026039210676244803
2024-01-30,A,-0.08461597367589971
2024-01-30,AG,-0.036367417497333195
2024-01-30,AL,-0.06370627074751711
2024-01-30,AU,-0.1466108916513038
2024-01-30,FU,-0.03269130502503535
2024-01-30,HC,-0.047706536432363805
2024-01-30,I,-0.02443617870681556
2024-01-30,IC,-0.01373890249457561
2024-01-30,IF,-0.024087313092911063
2024-01-30,IH,-0.026039210676244803
2024-01-31,A,0.08264295712804239
2024-01-31,AG,0.03667524919320278
2024-01-31,AL,0.06393201278592885
2024-01-31,AU,0.14719975981780778
2024-01-31,FU,0.03287504379164691
2024-01-31,HC,0.04787494357595968
2024-01-31,I,0.02449147676320019
2024-01-31,IC,0.01383057515482467
2024-01-31,IF,0.024266633931736226
2024-01-31,IH,0.026211347857650478
2024-01-31,A,-0.08264295712804239
2024-01-31,AG,-0.03667524919320278
2024-01-31,AL,-0.06393201278592885
2024-01-31,AU,-0.14719975981780778
2024-01-31,FU,-0.03287504379164691
2024-01-31,HC,-0.04787494357595968
2024-01-31,I,-0.02449147676320019
