factor,family,status,frequency,registered_horizons,selected_period,approved_periods,direction,admitted_at,source_run,research_start,research_cutoff,ic,t,q,evidence_sha256
intraday_smart_money_v4_vol_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.15085104440436908,3.3450301449507553,0.0027942961746670607,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_spectral_slope_20d,intraday_advanced,effective,daily,5|10|20,20,[20],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.16247567856561976,-3.9870552099113086,0.000254396146526097,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_term_roll_yield_vol_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.2089638435238806,3.6924489703588983,0.0007884132435177465,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_term_vol_spread_20d,intraday_advanced,effective,daily,5|10|20,5,[5],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.054910108995693076,-3.2001212147200366,0.0019546754491324026,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_trend_occupancy_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.12008872933813583,3.938204133824722,0.00030888594931894003,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_trend_resid_kurt_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.110338678343294,3.9187787874556492,0.00033349084690095256,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_variance_ratio_5m_20d,intraday_advanced,effective,daily,5|10|20,10,[10],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.1149769410503478,2.932680887286302,0.006066310718432948,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_vol_burst_peak_cnt_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.1192896434292999,3.4025055923446748,0.0022859556722249095,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_vol_segment_consistency_20d,intraday_advanced,effective,daily,5|10|20,10,[10],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.08265740667681588,3.156268973152024,0.00528299075980279,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_vol_state_trend_20d,intraday_advanced,effective,daily,5|10|20,20,[20],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.14624195993894146,-3.7936832157646614,0.000542351110903826,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_vol_volume_lead_20d,intraday_advanced,effective,daily,5|10|20,10,[10],-1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,-0.12306504206108225,-3.1735554090666223,0.004987977196071591,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
intraday_vpin_20d,intraday_advanced,effective,daily,5|10|20,20,[20],1,2026-09-06,20260906_intraday606_admission_20250101_20260515_r2,2025-01-01,2026-05-15,0.14651108353140588,3.5302511034149386,0.0014488108928894347,8a9a71842efef63303d6acf54a4c5636485f5cd87a157e7b43afdfb2d492c615
